response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP00001,A020,Agent_20,9962061404,House,Virar,2024-03-12,T,T,T,T,T,T,F,T,F,F,T,T
RSP00002,A021,Agent_21,9604579232,House,Virar,2024-01-22,T,T,T,F,T,F,T,T,T,T,F,T
RSP00003,A005,Agent_5,9561901618,Shop,Virar,2024-03-13,T,F,F,F,T,T,F,T,T,T,T,F
RSP00004,A004,Agent_4,9882698033,Shop,Virar,2024-01-02,T,T,T,T,T,T,T,F,T,T,T,T
RSP00005,A008,Agent_8,9506019796,House,Virar,2024-03-22,T,T,F,F,T,T,T,T,T,T,T,T
RSP00006,A019,Agent_19,9988445520,Shop,Virar,2024-02-04,T,T,T,T,T,T,T,T,T,T,T,T
RSP00007,A003,Agent_3,9670916578,House,Virar,2024-03-18,T,T,T,T,T,T,T,T,T,F,T,T
RSP00008,A004,Agent_4,9776742877,House,Virar,2024-01-15,T,T,T,T,T,F,F,T,F,F,T,F
RSP00009,A011,Agent_11,9419309439,College,Virar,2024-03-29,T,T,T,F,T,F,T,T,T,T,T,T
RSP00010,A015,Agent_15,9822804538,House,Virar,2024-03-28,T,T,F,F,T,T,T,T,T,T,T,T
RSP00011,A005,Agent_5,9508327903,College,Virar,2024-01-19,T,T,T,F,T,T,T,T,F,T,F,T
RSP00012,A016,Agent_16,9307640719,College,Virar,2024-02-28,T,T,T,F,T,T,T,T,T,T,T,F
RSP00013,A001,Agent_1,9854583306,House,Virar,2024-03-29,T,T,T,T,T,F,T,T,F,F,T,F
RSP00014,A023,Agent_23,9482380040,House,Virar,2024-01-19,T,F,F,F,T,T,T,F,T,T,T,T
RSP00015,A018,Agent_18,9790665343,House,Virar,2024-03-06,T,T,T,F,T,T,F,T,F,T,T,T
RSP00016,A019,Agent_19,9685544149,House,Virar,2024-01-30,F,T,F,F,T,T,T,T,T,F,T,T
RSP00017,A017,Agent_17,9287276799,House,Virar,2024-01-30,F,F,T,T,F,T,F,F,F,T,T,F
RSP00018,A003,Agent_3,9827965823,House,Virar,2024-02-23,T,T,T,F,F,T,T,F,T,T,T,T
