response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP12086,A014,Agent_14,9601192266,House,Boisar,2024-03-15,T,F,F,F,T,T,F,T,T,T,T,T
RSP12087,A019,Agent_19,9385000792,Shop,Boisar,2024-03-16,T,T,F,F,T,T,F,T,T,T,T,F
RSP12088,A006,Agent_6,9152551638,College,Boisar,2024-01-04,T,T,F,T,T,T,T,T,T,T,T,T
RSP12089,A022,Agent_22,9263571086,House,Boisar,2024-01-01,T,T,T,F,T,F,T,T,T,F,T,F
RSP12090,A025,Agent_25,9489143913,College,Boisar,2024-01-28,T,F,T,F,T,T,F,T,T,T,F,F
RSP12091,A007,Agent_7,9729105176,Shop,Boisar,2024-02-28,F,T,T,T,T,F,T,T,T,T,T,T
RSP12092,A009,Agent_9,9385644438,House,Boisar,2024-03-19,T,T,T,F,T,T,T,F,T,T,T,T
RSP12093,A006,Agent_6,9651755193,House,Boisar,2024-02-17,T,T,F,F,T,T,T,T,T,F,F,T
RSP12094,A011,Agent_11,9404223258,House,Boisar,2024-02-12,T,T,T,F,T,T,F,F,T,T,F,T
RSP12095,A012,Agent_12,9885183761,College,Boisar,2024-03-26,F,T,F,T,T,T,T,T,T,F,F,F
RSP12096,A020,Agent_20,9560545525,House,Boisar,2024-03-24,T,F,T,F,T,T,T,T,F,T,T,T
RSP12097,A016,Agent_16,9376658450,College,Boisar,2024-01-01,T,T,F,F,T,T,F,F,T,T,F,F
RSP12098,A025,Agent_25,9914834090,House,Boisar,2024-03-14,T,F,T,F,T,T,F,T,T,F,T,T
RSP12099,A025,Agent_25,9452924568,House,Boisar,2024-02-19,T,T,T,T,T,T,F,T,T,T,F,F
RSP12100,A013,Agent_13,9146780464,House,Boisar,2024-03-13,F,T,T,F,T,F,F,T,T,T,T,F
RSP12101,A014,Agent_14,9380942804,College,Boisar,2024-03-04,T,T,T,T,F,F,T,T,T,F,F,T
RSP12102,A014,Agent_14,9160676600,Shop,Boisar,2024-02-07,T,T,T,T,T,T,F,T,F,T,F,T
RSP12103,A018,Agent_18,9786531089,House,Boisar,2024-02-16,F,T,F,F,T,T,T,T,T,T,T,T
RSP12104,A007,Agent_7,9183306620,House,Boisar,2024-02-26,T,T,T,F,T,T,T,T,T,F,T,T
RSP12105,A011,Agent_11,9701654961,House,Boisar,2024-01-05,T,T,T,T,T,T,T,F,T,F,T,T
RSP12106,A017,Agent_17,9350356890,Shop,Boisar,2024-03-08,T,T,T,F,T,T,F,T,F,T,T,F
