response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP22759,A023,Agent_23,9509501208,Shop,Dahanu,2024-02-27,F,T,T,F,F,T,T,T,T,F,T,F
RSP22760,A007,Agent_7,9820035095,College,Dahanu,2024-01-02,T,F,T,T,T,T,T,T,T,T,T,F
RSP22761,A022,Agent_22,9633568175,House,Dahanu,2024-02-24,T,F,F,T,T,F,T,F,T,T,F,T
RSP22762,A017,Agent_17,9514694985,House,Dahanu,2024-03-14,T,F,F,T,T,F,F,F,F,T,F,F
RSP22763,A004,Agent_4,9126513994,House,Dahanu,2024-01-28,T,T,F,T,T,F,F,F,F,T,T,F
RSP22764,A019,Agent_19,9884637864,Shop,Dahanu,2024-01-19,F,F,F,T,F,T,F,T,F,T,F,F
RSP22765,A022,Agent_22,9183357857,Shop,Dahanu,2024-01-08,F,T,F,T,T,F,F,T,T,F,F,F
RSP22766,A011,Agent_11,9371649927,College,Dahanu,2024-02-16,T,T,F,F,T,T,T,F,T,T,T,T
RSP22767,A008,Agent_8,9393057808,House,Dahanu,2024-01-23,T,F,T,F,T,T,F,F,F,F,F,T
RSP22768,A021,Agent_21,9663123464,House,Dahanu,2024-02-07,T,F,F,T,T,T,F,T,F,F,T,F
RSP22769,A019,Agent_19,9254040594,House,Dahanu,2024-02-22,T,T,F,T,T,F,F,T,T,T,F,T
RSP22770,A003,Agent_3,9548877371,Shop,Dahanu,2024-01-16,T,F,T,F,T,F,F,T,T,F,T,T
RSP22771,A009,Agent_9,9305968146,House,Dahanu,2024-03-23,T,T,T,T,T,F,F,T,F,F,F,F
RSP22772,A016,Agent_16,9709122683,House,Dahanu,2024-02-11,T,T,T,T,F,F,T,F,T,T,F,F
RSP22773,A019,Agent_19,9172849741,House,Dahanu,2024-01-09,T,T,T,T,F,F,T,F,T,T,F,F
RSP22774,A024,Agent_24,9101921683,Shop,Dahanu,2024-01-13,T,F,T,T,F,T,F,T,T,F,T,F
RSP22775,A013,Agent_13,9520212538,School,Dahanu,2024-03-16,T,T,F,F,T,F,F,T,F,T,T,F
RSP22776,A011,Agent_11,9768879567,House,Dahanu,2024-02-23,F,T,F,F,F,T,F,F,F,T,T,F
RSP22777,A007,Agent_7,9880085885,House,Dahanu,2024-02-05,F,T,T,T,T,T,F,F,T,T,T,T
RSP22778,A006,Agent_6,9678640362,House,Dahanu,2024-03-14,T,T,F,F,T,T,T,T,F,F,T,T
RSP22779,A012,Agent_12,9240538541,House,Dahanu,2024-02-16,F,F,F,T,T,F,T,F,T,T,F,F
RSP22780,A007,Agent_7,9810406595,House,Dahanu,2024-03-26,T,T,F,T,F,F,F,F,T,T,F,F
RSP22781,A007,Agent_7,9770961052,House,Dahanu,2024-01-24,T,F,T,T,T,T,T,F,T,T,T,F
RSP22782,A011,Agent_11,9668303335,House,Dahanu,2024-01-20,T,F,F,T,F,F,T,F,T,F,F,T
RSP22783,A009,Agent_9,9624243186,House,Dahanu,2024-01-11,F,T,T,F,T,T,F,F,F,F,F,F
RSP22784,A011,Agent_11,9169713659,House,Dahanu,2024-02-09,T,T,T,T,F,F,F,F,F,F,T,T
RSP22785,A024,Agent_24,9153289633,Shop,Dahanu,2024-03-20,F,F,F,F,T,F,T,F,F,F,F,T
RSP22786,A004,Agent_4,9185819777,Shop,Dahanu,2024-01-23,F,T,F,T,F,F,F,T,F,F,T,T
RSP22787,A016,Agent_16,9474281607,House,Dahanu,2024-02-23,T,F,T,T,F,T,T,T,F,F,F,T
RSP22788,A002,Agent_2,9912236674,House,Dahanu,2024-02-24,T,F,T,T,T,F,F,F,F,F,T,F
RSP22789,A019,Agent_19,9395406072,College,Dahanu,2024-01-23,F,F,F,T,T,T,F,T,T,T,F,F
RSP22790,A009,Agent_9,9407354481,House,Dahanu,2024-03-02,F,F,F,T,T,F,F,T,T,F,F,T
RSP22791,A011,Agent_11,9710040213,Shop,Dahanu,2024-01-03,F,F,F,F,T,F,T,T,F,F,F,F
RSP22792,A015,Agent_15,9995768559,Shop,Dahanu,2024-02-09,T,F,T,T,F,F,F,T,F,F,T,F
RSP22793,A005,Agent_5,9675020308,College,Dahanu,2024-01-23,F,T,T,T,F,T,F,T,F,F,F,T
