response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP34968,A004,Agent_4,9674421042,House,Kelva,2024-02-07,F,T,F,F,F,F,T,T,F,T,F,T
RSP34969,A014,Agent_14,9788643713,House,Kelva,2024-02-21,T,F,T,F,T,T,F,T,T,T,T,F
RSP34970,A001,Agent_1,9224161766,School,Kelva,2024-03-28,F,T,F,F,T,T,T,F,F,T,T,F
RSP34971,A019,Agent_19,9603466221,House,Kelva,2024-03-25,T,F,T,T,F,F,F,F,F,T,T,T
RSP34972,A017,Agent_17,9554647645,House,Kelva,2024-02-05,T,F,T,F,T,T,F,T,T,T,F,T
RSP34973,A010,Agent_10,9405285151,Shop,Kelva,2024-03-15,F,T,F,T,F,T,T,T,F,T,T,T
RSP34974,A020,Agent_20,9142825190,Shop,Kelva,2024-01-28,F,T,F,T,T,T,F,F,F,T,F,T
RSP34975,A014,Agent_14,9412897097,College,Kelva,2024-02-03,T,T,T,F,T,F,F,T,T,T,F,T
RSP34976,A009,Agent_9,9447676630,House,Kelva,2024-01-03,T,T,F,F,F,F,F,T,F,F,F,F
RSP34977,A017,Agent_17,9964158507,House,Kelva,2024-03-29,T,T,F,T,F,F,F,T,T,T,T,T
RSP34978,A024,Agent_24,9896078433,House,Kelva,2024-01-26,T,T,T,T,T,T,T,F,T,F,T,T
RSP34979,A004,Agent_4,9356779277,College,Kelva,2024-02-18,T,F,T,F,T,T,T,T,T,F,T,T
RSP34980,A008,Agent_8,9910774860,College,Kelva,2024-03-29,F,F,T,T,T,T,F,T,T,F,T,T
RSP34981,A022,Agent_22,9435309002,House,Kelva,2024-02-04,F,T,T,T,F,T,T,F,T,T,T,F
RSP34982,A021,Agent_21,9813654391,House,Kelva,2024-02-07,T,F,T,F,T,T,T,T,T,F,F,T
RSP34983,A023,Agent_23,9822815503,House,Kelva,2024-03-21,F,T,T,T,T,F,F,T,T,T,F,F
