response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP17691,A009,Agent_9,9986701597,College,Palghar,2024-01-02,T,T,F,T,T,F,T,T,T,T,T,T
RSP17692,A002,Agent_2,9977793724,House,Palghar,2024-03-04,T,T,T,F,T,T,F,T,T,F,T,F
RSP17693,A023,Agent_23,9999443452,College,Palghar,2024-03-13,T,T,T,F,T,T,F,T,F,F,F,T
RSP17694,A018,Agent_18,9249405814,House,Palghar,2024-02-09,T,T,T,T,T,F,F,F,F,F,T,T
RSP17695,A007,Agent_7,9918729685,House,Palghar,2024-03-19,F,F,F,F,T,F,T,T,F,F,T,T
RSP17696,A016,Agent_16,9861038434,House,Palghar,2024-02-23,T,T,T,F,T,T,T,F,T,T,T,T
RSP17697,A016,Agent_16,9400875062,House,Palghar,2024-01-16,T,T,T,T,T,T,F,T,T,T,T,T
RSP17698,A021,Agent_21,9810809031,House,Palghar,2024-01-30,F,T,T,F,T,F,T,T,F,F,T,F
RSP17699,A003,Agent_3,9591339275,House,Palghar,2024-01-22,T,F,T,F,T,T,T,T,T,T,F,F
RSP17700,A022,Agent_22,9642706075,College,Palghar,2024-03-05,F,T,F,T,T,T,F,F,T,F,T,T
RSP17701,A003,Agent_3,9902468571,House,Palghar,2024-03-21,F,T,T,F,T,T,T,T,T,T,T,T
RSP17702,A010,Agent_10,9613086972,Shop,Palghar,2024-01-14,F,F,T,F,T,T,T,F,T,T,T,T
RSP17703,A003,Agent_3,9975159768,House,Palghar,2024-01-06,T,T,T,F,T,F,F,T,F,F,T,T
RSP17704,A009,Agent_9,9672086718,Shop,Palghar,2024-02-04,T,T,T,F,T,T,F,T,F,T,T,F
RSP17705,A006,Agent_6,9757371894,House,Palghar,2024-01-05,T,T,T,F,F,T,F,T,T,T,T,T
RSP17706,A004,Agent_4,9212780147,House,Palghar,2024-01-31,T,T,F,F,T,T,F,T,T,T,T,T
RSP17707,A003,Agent_3,9591867454,School,Palghar,2024-01-25,T,F,T,F,T,T,F,F,T,F,T,T
RSP17708,A008,Agent_8,9920665089,College,Palghar,2024-01-06,F,T,T,F,T,F,F,F,T,T,F,T
RSP17709,A013,Agent_13,9664780993,Shop,Palghar,2024-01-08,T,T,F,F,T,T,F,F,T,T,T,T
RSP17710,A006,Agent_6,9253456800,College,Palghar,2024-02-18,T,F,T,F,T,T,F,F,T,F,T,T
RSP17711,A010,Agent_10,9111374129,House,Palghar,2024-01-24,T,T,F,F,T,T,F,T,T,T,T,F
RSP17712,A002,Agent_2,9695196733,House,Palghar,2024-03-05,F,T,T,T,T,F,F,T,T,T,F,F
RSP17713,A010,Agent_10,9764837078,House,Palghar,2024-03-11,T,T,T,F,T,T,F,T,F,F,F,T
RSP17714,A020,Agent_20,9940956519,House,Palghar,2024-02-01,T,F,F,F,T,T,T,F,T,F,F,T
RSP17715,A015,Agent_15,9965256515,House,Palghar,2024-01-27,T,F,T,F,T,T,F,T,T,T,T,T
RSP17716,A004,Agent_4,9597945621,College,Palghar,2024-02-17,T,T,F,F,T,T,F,T,F,F,F,F
RSP17717,A003,Agent_3,9893714397,Shop,Palghar,2024-01-25,T,T,F,T,T,T,F,T,T,T,F,T
RSP17718,A025,Agent_25,9990723249,House,Palghar,2024-02-10,T,F,T,T,T,T,F,T,F,F,T,T
RSP17719,A025,Agent_25,9866264943,House,Palghar,2024-02-08,F,T,F,F,T,T,T,T,F,T,T,T
