response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP40299,A019,Agent_19,9396429389,House,Saphale,2024-03-07,T,T,T,F,T,T,T,T,T,F,T,F
RSP40300,A007,Agent_7,9635001978,Shop,Saphale,2024-03-24,F,T,T,T,T,T,T,F,F,T,F,T
RSP40301,A025,Agent_25,9422021003,Shop,Saphale,2024-03-08,F,F,T,T,T,F,F,T,T,F,F,T
RSP40302,A022,Agent_22,9813964319,College,Saphale,2024-02-17,F,T,F,T,T,T,F,T,T,F,T,T
RSP40303,A014,Agent_14,9391438488,House,Saphale,2024-01-17,T,T,T,F,F,F,F,T,T,T,F,T
RSP40304,A006,Agent_6,9666269865,House,Saphale,2024-03-10,F,F,T,F,F,F,T,T,F,F,T,F
RSP40305,A004,Agent_4,9809433827,Shop,Saphale,2024-01-13,T,T,T,F,T,T,F,T,F,T,F,T
RSP40306,A001,Agent_1,9250759486,House,Saphale,2024-02-23,F,T,T,F,T,T,F,T,T,T,F,T
RSP40307,A021,Agent_21,9480317299,House,Saphale,2024-02-22,F,T,T,T,T,T,T,F,T,F,F,T
RSP40308,A014,Agent_14,9184833876,House,Saphale,2024-03-21,T,F,F,T,T,F,F,T,T,F,T,F
RSP40309,A015,Agent_15,9513470714,House,Saphale,2024-01-27,T,T,F,T,F,F,F,F,F,T,T,T
RSP40310,A025,Agent_25,9285431887,House,Saphale,2024-03-15,T,T,T,F,T,T,T,T,T,F,F,F
RSP40311,A019,Agent_19,9694212824,House,Saphale,2024-02-16,F,T,T,F,T,F,F,T,F,T,T,T
RSP40312,A011,Agent_11,9602377409,College,Saphale,2024-02-16,T,T,F,T,T,T,F,T,T,T,F,F
RSP40313,A024,Agent_24,9650839470,School,Saphale,2024-01-01,F,F,F,T,T,T,F,T,T,F,F,T
RSP40314,A022,Agent_22,9942600652,College,Saphale,2024-02-09,T,F,T,F,T,T,F,T,T,T,T,T
RSP40315,A023,Agent_23,9842115062,House,Saphale,2024-01-19,T,F,F,F,T,F,T,F,F,F,T,T
RSP40316,A008,Agent_8,9444134653,House,Saphale,2024-03-09,T,F,F,F,T,F,F,F,T,F,F,T
RSP40317,A014,Agent_14,9748047303,House,Saphale,2024-02-23,F,F,T,T,T,F,F,T,F,T,F,T
RSP40318,A001,Agent_1,9642477283,House,Saphale,2024-02-18,F,T,F,T,T,T,F,T,T,F,F,T
RSP40319,A016,Agent_16,9277462664,House,Saphale,2024-03-04,F,T,T,F,T,T,T,T,T,T,T,T
RSP40320,A025,Agent_25,9920498604,House,Saphale,2024-01-16,T,F,F,F,T,T,T,T,T,F,T,T
