response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP29210,A003,Agent_3,9319697664,House,Tarapur,2024-01-13,T,T,F,T,T,T,F,T,T,T,T,T
RSP29211,A019,Agent_19,9586372516,House,Tarapur,2024-01-11,T,T,F,F,T,F,F,F,T,F,T,F
RSP29212,A011,Agent_11,9927814296,House,Tarapur,2024-02-14,F,T,T,T,T,T,F,T,T,T,T,F
RSP29213,A010,Agent_10,9328888868,Shop,Tarapur,2024-01-08,T,T,F,F,F,T,F,T,T,T,F,T
RSP29214,A011,Agent_11,9604375491,Shop,Tarapur,2024-03-14,T,T,F,F,T,T,T,T,F,F,T,T
RSP29215,A010,Agent_10,9122109933,House,Tarapur,2024-03-12,T,T,F,T,T,F,T,F,T,F,T,T
RSP29216,A018,Agent_18,9313522137,House,Tarapur,2024-03-29,F,F,T,T,T,F,T,T,F,T,F,T
RSP29217,A010,Agent_10,9199828706,Shop,Tarapur,2024-03-17,T,T,T,T,F,F,F,T,F,T,F,T
RSP29218,A003,Agent_3,9337747939,House,Tarapur,2024-03-12,F,F,T,F,T,T,F,F,T,T,F,F
RSP29219,A020,Agent_20,9698762506,House,Tarapur,2024-01-08,F,T,T,T,T,T,T,F,T,F,F,F
RSP29220,A007,Agent_7,9975481299,House,Tarapur,2024-01-03,T,T,F,F,T,F,F,F,T,F,T,T
RSP29221,A018,Agent_18,9488708789,School,Tarapur,2024-01-14,T,T,T,T,F,T,F,T,F,T,T,T
RSP29222,A021,Agent_21,9600020667,House,Tarapur,2024-03-01,F,F,F,T,T,F,F,T,T,T,F,F
RSP29223,A004,Agent_4,9664625557,College,Tarapur,2024-03-07,T,T,T,F,T,F,F,T,F,T,F,F
RSP29224,A006,Agent_6,9622067796,House,Tarapur,2024-01-27,T,T,T,F,T,F,F,T,F,F,F,F
RSP29225,A014,Agent_14,9731940548,College,Tarapur,2024-01-29,F,T,F,T,T,F,T,T,F,F,F,F
RSP29226,A015,Agent_15,9573916219,House,Tarapur,2024-03-13,F,F,F,F,F,F,T,F,F,F,T,T
RSP29227,A025,Agent_25,9999478570,House,Tarapur,2024-03-04,T,T,T,T,T,T,F,F,T,T,T,T
RSP29228,A013,Agent_13,9427502569,House,Tarapur,2024-02-16,T,T,F,F,T,T,F,F,F,T,T,T
RSP29229,A013,Agent_13,9459928663,College,Tarapur,2024-01-01,T,F,T,F,F,F,F,F,T,T,F,T
RSP29230,A016,Agent_16,9857649603,House,Tarapur,2024-02-09,F,F,T,F,T,F,F,T,T,F,F,F
RSP29231,A003,Agent_3,9590516096,House,Tarapur,2024-02-04,F,T,T,T,T,F,F,T,T,T,T,T
RSP29232,A007,Agent_7,9408770779,House,Tarapur,2024-03-01,F,F,F,T,T,F,T,T,T,T,F,T
RSP29233,A006,Agent_6,9248822520,House,Tarapur,2024-02-18,T,T,T,F,F,F,F,T,F,T,T,F
RSP29234,A009,Agent_9,9215789342,Shop,Tarapur,2024-03-03,T,F,T,T,F,T,T,T,T,F,F,T
RSP29235,A012,Agent_12,9400181551,House,Tarapur,2024-03-19,T,T,T,T,T,F,F,F,F,F,F,F
RSP29236,A002,Agent_2,9145993446,House,Tarapur,2024-01-28,T,T,T,F,T,T,T,T,F,F,T,T
RSP29237,A017,Agent_17,9679961433,House,Tarapur,2024-02-15,T,T,F,F,F,F,F,T,T,F,F,T
RSP29238,A007,Agent_7,9875058670,College,Tarapur,2024-01-16,F,T,F,F,T,T,T,T,T,T,F,F
RSP29239,A012,Agent_12,9680607430,House,Tarapur,2024-01-25,F,F,F,F,T,F,F,T,T,T,F,T
