response_id,agent_id,agent_name,mobile_no,category,location,survey_date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
RSP05927,A010,Agent_10,9571287326,House,Vasai,2024-01-27,T,T,F,F,T,F,T,T,F,F,T,F
RSP05928,A025,Agent_25,9801489629,College,Vasai,2024-02-10,T,T,T,F,T,T,F,T,T,F,T,T
RSP05929,A025,Agent_25,9292750631,Shop,Vasai,2024-02-22,T,T,T,T,T,T,T,T,T,T,T,F
RSP05930,A024,Agent_24,9767516180,House,Vasai,2024-02-25,F,T,T,T,F,T,F,T,T,F,T,T
RSP05931,A021,Agent_21,9436568985,House,Vasai,2024-02-18,T,T,T,T,F,T,T,T,T,F,T,F
RSP05932,A018,Agent_18,9683142335,House,Vasai,2024-02-08,T,T,T,F,T,T,T,T,T,T,T,T
RSP05933,A002,Agent_2,9659293590,House,Vasai,2024-02-01,T,T,T,T,T,T,T,F,T,F,T,T
RSP05934,A005,Agent_5,9890500706,College,Vasai,2024-01-28,F,T,F,F,F,T,F,F,T,T,T,T
RSP05935,A002,Agent_2,9755563185,House,Vasai,2024-02-10,F,T,F,T,T,T,F,T,T,F,T,F
RSP05936,A016,Agent_16,9295053490,House,Vasai,2024-03-16,T,T,T,T,T,T,T,T,T,T,T,F
RSP05937,A021,Agent_21,9544171993,School,Vasai,2024-03-03,T,F,T,T,T,F,T,T,F,T,T,T
RSP05938,A019,Agent_19,9666981037,Shop,Vasai,2024-03-23,F,F,T,T,T,F,T,T,F,F,F,T
RSP05939,A022,Agent_22,9479709612,College,Vasai,2024-02-04,T,T,T,T,T,T,F,T,T,F,T,T
RSP05940,A017,Agent_17,9834756075,House,Vasai,2024-01-06,T,T,T,T,T,T,T,T,F,T,T,T
RSP05941,A016,Agent_16,9688756562,House,Vasai,2024-01-15,F,T,T,T,T,T,F,T,T,T,F,T
RSP05942,A008,Agent_8,9376875915,College,Vasai,2024-01-03,T,T,F,F,T,F,T,T,F,F,T,F
RSP05943,A015,Agent_15,9654541288,House,Vasai,2024-03-28,T,F,T,F,T,F,F,T,T,T,F,T
RSP05944,A019,Agent_19,9264006452,House,Vasai,2024-02-16,T,T,F,F,T,T,F,T,F,T,T,T
RSP05945,A022,Agent_22,9358145915,House,Vasai,2024-01-09,F,T,T,F,F,T,F,T,T,T,T,T
RSP05946,A016,Agent_16,9755761241,House,Vasai,2024-03-07,T,F,F,F,T,T,F,F,T,F,T,T
RSP05947,A005,Agent_5,9918031148,Shop,Vasai,2024-01-11,T,T,T,T,T,T,F,T,F,F,F,T
RSP05948,A018,Agent_18,9117992815,House,Vasai,2024-02-07,T,T,T,F,T,T,T,T,F,T,T,F
RSP05949,A004,Agent_4,9978238884,House,Vasai,2024-01-06,T,T,T,T,T,T,T,T,T,F,T,F
RSP05950,A022,Agent_22,9675864061,House,Vasai,2024-03-19,T,T,F,T,T,F,T,T,T,F,F,T
RSP05951,A001,Agent_1,9205674804,College,Vasai,2024-02-24,F,T,F,F,T,T,F,T,T,F,T,T
RSP05952,A013,Agent_13,9628403242,College,Vasai,2024-01-23,T,T,T,F,T,T,F,F,F,T,T,T
RSP05953,A002,Agent_2,9779742973,Shop,Vasai,2024-01-24,T,F,F,T,T,T,F,T,T,F,T,T
RSP05954,A023,Agent_23,9571359633,Shop,Vasai,2024-02-06,F,T,T,T,T,F,T,F,F,T,T,T
RSP05955,A011,Agent_11,9362031941,College,Vasai,2024-02-02,T,T,T,T,T,T,F,T,T,T,T,T
RSP05956,A017,Agent_17,9664682903,House,Vasai,2024-02-15,F,T,F,F,T,T,T,F,T,F,T,T
RSP05957,A013,Agent_13,9883716620,House,Vasai,2024-02-13,T,T,F,F,T,F,F,T,T,T,T,T
RSP05958,A020,Agent_20,9102286988,Shop,Vasai,2024-02-19,T,T,F,F,T,T,F,T,T,T,F,T
RSP05959,A018,Agent_18,9761328608,House,Vasai,2024-03-01,F,F,T,T,F,T,F,T,T,F,T,T
RSP05960,A013,Agent_13,9203944841,Shop,Vasai,2024-01-05,T,T,T,F,T,F,F,T,T,T,T,T
RSP05961,A022,Agent_22,9228199824,House,Vasai,2024-01-30,T,F,F,F,T,T,F,T,F,F,T,T
RSP05962,A005,Agent_5,9777006983,College,Vasai,2024-01-06,T,T,T,F,T,T,T,T,F,T,T,F
RSP05963,A002,Agent_2,9980083810,College,Vasai,2024-02-29,T,F,T,T,T,T,T,T,T,F,T,T
RSP05964,A025,Agent_25,9335468537,House,Vasai,2024-03-03,T,T,T,F,T,T,T,T,T,T,T,T
RSP05965,A007,Agent_7,9538609396,House,Vasai,2024-03-16,F,F,T,T,T,T,T,T,T,T,F,T
RSP05966,A004,Agent_4,9213539436,House,Vasai,2024-02-12,T,T,F,T,T,F,T,T,T,T,T,T
RSP05967,A013,Agent_13,9533453525,House,Vasai,2024-03-13,F,T,F,T,T,T,T,F,T,T,F,T
RSP05968,A019,Agent_19,9894314819,House,Vasai,2024-01-05,T,T,T,T,T,T,T,T,F,T,T,T
RSP05969,A009,Agent_9,9872810582,Shop,Vasai,2024-01-05,T,T,T,F,T,T,F,T,T,F,T,T
RSP05970,A004,Agent_4,9892064759,House,Vasai,2024-02-14,T,T,T,F,T,T,T,T,F,F,T,F
RSP05971,A001,Agent_1,9961885122,College,Vasai,2024-02-12,F,T,T,F,T,F,F,F,F,T,T,T
RSP05972,A021,Agent_21,9887475132,House,Vasai,2024-02-28,T,T,T,F,T,F,T,T,T,T,T,T
RSP05973,A019,Agent_19,9878267442,House,Vasai,2024-02-18,T,T,T,T,T,T,F,T,T,T,T,T
RSP05974,A001,Agent_1,9371719885,House,Vasai,2024-01-11,T,T,F,F,T,F,F,T,T,T,T,T
RSP05975,A003,Agent_3,9808574101,School,Vasai,2024-01-08,T,T,T,F,T,T,T,T,T,F,F,T
RSP05976,A013,Agent_13,9573897601,College,Vasai,2024-03-11,T,T,T,F,T,F,T,T,F,T,T,F
RSP05977,A019,Agent_19,9562791375,House,Vasai,2024-02-26,F,T,F,F,T,T,T,T,F,T,T,F
RSP05978,A006,Agent_6,9299402488,Shop,Vasai,2024-01-12,T,T,T,F,T,T,F,T,F,T,T,T
RSP05979,A018,Agent_18,9463319724,House,Vasai,2024-01-13,F,T,F,T,T,F,F,T,F,F,T,T
RSP05980,A013,Agent_13,9232885217,House,Vasai,2024-01-10,T,T,F,T,T,F,T,F,T,T,F,T
RSP05981,A013,Agent_13,9397764987,College,Vasai,2024-02-17,F,T,T,F,T,T,F,T,T,T,F,F
RSP05982,A015,Agent_15,9536980297,House,Vasai,2024-02-18,T,T,T,F,T,F,T,T,T,T,F,T
RSP05983,A018,Agent_18,9935711422,House,Vasai,2024-03-29,T,T,T,F,T,F,T,T,T,T,T,T
RSP05984,A013,Agent_13,9561464481,Shop,Vasai,2024-02-18,T,F,F,F,T,F,F,T,F,F,F,T
RSP05985,A018,Agent_18,9145849533,House,Vasai,2024-03-30,T,T,T,T,T,T,F,T,T,T,T,F
RSP05986,A021,Agent_21,9602576775,House,Vasai,2024-03-24,T,T,F,F,T,F,T,T,T,T,T,T
RSP05987,A009,Agent_9,9916567805,House,Vasai,2024-03-19,T,F,F,F,T,T,T,T,F,T,T,T
RSP05988,A007,Agent_7,9800568698,College,Vasai,2024-03-19,T,T,T,F,F,T,T,T,T,T,F,T
RSP05989,A015,Agent_15,9478392445,House,Vasai,2024-02-02,T,T,T,T,F,F,F,F,F,F,F,F
RSP05990,A003,Agent_3,9679296572,House,Vasai,2024-02-06,T,T,T,F,T,T,F,T,T,F,F,T
RSP05991,A003,Agent_3,9238551542,House,Vasai,2024-01-10,T,T,F,F,T,F,T,T,T,T,F,T
RSP05992,A016,Agent_16,9566750389,School,Vasai,2024-02-28,T,F,F,T,F,T,T,T,T,T,T,T
RSP05993,A021,Agent_21,9303331258,House,Vasai,2024-01-08,T,T,F,F,T,T,T,T,F,F,T,F
RSP05994,A018,Agent_18,9321439239,House,Vasai,2024-01-18,F,F,T,T,T,T,F,F,T,T,T,T
RSP05995,A018,Agent_18,9767979545,House,Vasai,2024-03-09,F,F,T,T,T,F,T,T,F,T,T,F
RSP05996,A019,Agent_19,9869143699,House,Vasai,2024-01-04,F,F,F,F,T,T,T,T,T,T,F,T
RSP05997,A010,Agent_10,9824975736,Shop,Vasai,2024-02-25,T,T,T,F,T,T,F,T,T,T,T,T
RSP05998,A012,Agent_12,9970176441,College,Vasai,2024-03-07,T,T,T,T,T,T,T,T,T,T,T,F
RSP05999,A005,Agent_5,9365794045,House,Vasai,2024-01-05,T,F,F,T,F,T,T,T,T,F,T,T
RSP06000,A019,Agent_19,9545351738,Shop,Vasai,2024-03-07,T,F,T,F,T,T,T,F,F,T,T,T
RSP06001,A018,Agent_18,9475375433,House,Vasai,2024-02-24,F,T,T,F,T,T,F,T,T,T,F,F
RSP06002,A009,Agent_9,9755818564,College,Vasai,2024-03-10,T,T,F,T,T,T,T,T,T,T,T,T
RSP06003,A007,Agent_7,9289797394,School,Vasai,2024-02-04,T,F,T,F,F,T,F,T,T,F,F,T
RSP06004,A008,Agent_8,9232764697,Shop,Vasai,2024-03-23,F,T,F,T,T,T,F,T,T,T,T,T
RSP06005,A016,Agent_16,9377897524,House,Vasai,2024-01-03,F,F,T,T,T,T,F,T,F,T,T,F
RSP06006,A002,Agent_2,9929837967,House,Vasai,2024-03-22,F,T,T,T,F,F,F,T,T,T,T,T
